id,manufacturer,modelNumber,description,phaseType,outputVoltage,nominalFrequency,maxOutputCurrent,nominalOutputPower,maxOutputPower,maxApparentPower,powerFactor,totalHarmonicDistortion,acGridConnectionType,maxDcVoltage,startVoltage,nominalDcVoltage,mpptVoltageRangeMin,mpptVoltageRangeMax,numberOfMpptTrackers,stringsPerMppt,maxInputCurrentPerMppt,maxShortCircuitCurrent,maxRecommendedPvPower,maxEfficiency,europeanEfficiency,mpptEfficiency,dimensions,weight,ipRating,operatingTempRange,coolingMethod,noiseLevel,communicationInterfaces,displayType,protectionFeatures,certifications,warrantyYears
,Growatt,MIC 1000TL-X,Growatt MIC 1000TL-X inverter,Single-phase,230,50,4.8,1000,1000,1000,0.8,,Single phase,500,50,180,50,500,1,1,13,16,,97.4,96.5,99.9,,,,,,,,,,,
,Growatt,MIC 1500TL-X,Growatt MIC 1500TL-X inverter,Single-phase,230,50,7.1,1500,1500,1500,0.8,,Single phase,500,50,250,50,500,1,1,13,16,,97.4,97,99.9,,,,,,,,,,,
,Growatt,MIC 2000TL-X,Growatt MIC 2000TL-X inverter,Single-phase,230,50,9.5,2000,2000,2000,0.8,,Single phase,500,50,360,50,500,1,1,13,16,,97.4,97,99.9,,,,,,,,,,,
,Growatt,MIC 2500TL-X,Growatt MIC 2500TL-X inverter,Single-phase,230,50,11.9,2500,2500,2500,0.8,,Single phase,550,80,360,65,550,1,1,13,16,,97.6,97,99.9,,,,,,,,,,,
,Growatt,MIC 3000TL-X,Growatt MIC 3000TL-X inverter,Single-phase,230,50,14.3,3000,3000,3000,0.8,,Single phase,550,80,360,65,550,1,1,13,16,,97.6,97.1,99.9,,,,,,,,,,,
,Growatt,MIC 3300TL-X,Growatt MIC 3300TL-X inverter,Single-phase,230,50,14.3,3300,3300,3300,0.8,,Single phase,550,80,360,65,550,1,1,13,16,,97.6,97.1,99.9,,,,,,,,,,,
,Growatt,MIN 2500TL-X,Growatt MIN 2500TL-X inverter,Single-phase,230,50,11.3,2500,2500,2500,0.8,,Single phase,500,,360,80,500,,1,13.5,16.9,,98.2,97.1,99.9,,,,,,,,,,,
,Growatt,MIN 3000TL-X,Growatt MIN 3000TL-X inverter,Single-phase,230,50,13.6,3000,3000,3000,0.8,,Single phase,500,,360,80,500,,1,13.5,16.9,,98.2,97.1,99.9,,,,,,,,,,,
,Growatt,MIN 3600TL-X,Growatt MIN 3600TL-X inverter,Single-phase,230,50,16,3600,3600,3600,0.8,,Single phase,550,,360,80,550,,1,13.5,16.9,,98.2,97.2,99.9,,,,,,,,,,,
,Growatt,MIN 4200TL-X,Growatt MIN 4200TL-X inverter,Single-phase,230,50,19,4200,4200,4200,0.8,,Single phase,550,100,360,80,550,2,1,13.5,16.9,,98.4,97.5,99.9,,,,,,,,,,,
,Growatt,MIN 4600TL-X,Growatt MIN 4600TL-X inverter,Single-phase,230,50,20.9,4600,4600,4600,0.8,,Single phase,550,100,360,80,550,2,1,13.5,16.9,,98.4,97.5,99.9,,,,,,,,,,,
,Growatt,MIN 5000TL-X,Growatt MIN 5000TL-X inverter,Single-phase,230,50,22.7,5000,5000,5000,0.8,,Single phase,550,100,360,80,550,2,1,13.5,16.9,,98.4,97.5,99.9,,,,,,,,,,,
,Growatt,MIN 6000TL-X,Growatt MIN 6000TL-X inverter,Single-phase,230,50,27.2,6000,6000,6000,0.8,,Single phase,550,100,360,80,550,2,1,13.5,16.9,,98.4,97.5,99.9,,,,,,,,,,,